Taxon,Clade,Subclade
Poliopogon_microuncinatus_X05_JL302-B28,B,Poliopogon
Pheronematidae_gen._inc._1_X15_JL306-B09,B,Semperella-like
Pheronematidae_gen._inc._1_X46_JL305-B19,B,Semperella-like
Semperella_gerovasileii_X18_JL306-B23,B,Semperella
Semperella_micropentactina_X23_JL317-B05,B,Semperella
Semperella_retrospinella_X36_JL312-B18,B,Semperella
Semperella_micropentactina_X53_JL315-B01,B,Semperella
Pheronemoides_fungosus_YM30037,A,Pheronemoides
Poliopogon_distortus_MF098799.1,B,Poliopogon
Semperella_jiaolongae_MBM179993,B,Semperella-like
Poliopogon_sp._NIWA_126337,A,Pheronema
Poliopogon_microuncinatus_SMF11698,B,Poliopogon
Pheronema_sp._NIWA_126135,A,Pheronema
Pheronema_sp._NIWA_126138,A,Pheronema
Schulzeviella_sp._HURL_P4-224-sp5,B,Schuzleviella
Sericolophus_hawaiicus_HMR_02-04-16-08,A,Sericolophus
Pheronema_conicum_QM_G318562,A,Pheronema-like
Pheronema_sp._HBOI_10-VI-91-1-001,A,Pheronema
Pheronemoides_curvipentactin_H1,A,Pheronemoides
Pheronemoides_crustiformis_C201,A,Pheronemoides
Pheronema_sp._JS20-1-10_JS20-1-10,A,Pheronema
